day,instrument,side,entry_time,entry_price,exit_time,exit_price,qty,exit_reason,r_multiple,pnl_usd,entry_atr_ticks,scaled
2024-03-28,MES,LONG,2024-03-28 12:00:00-04:00,5315.00,2024-03-28 15:00:00-04:00,5305.25,5,SESSION_FLATTEN,-0.533,-251.15,48.7,False
2024-04-03,MES,LONG,2024-04-03 12:00:00-04:00,5273.25,2024-04-03 15:00:00-04:00,5265.50,4,SESSION_FLATTEN,-0.369,-160.92,56.0,False
2024-04-04,MES,LONG,2024-04-04 12:00:00-04:00,5302.50,2024-04-04 14:00:00-04:00,5279.81,4,STOP,-1.011,-459.70,59.8,False
2024-04-05,MES,LONG,2024-04-05 13:00:00-04:00,5271.50,2024-04-05 14:00:00-04:00,5241.37,3,STOP,-1.008,-456.41,87.9,False
2024-04-08,MES,SHORT,2024-04-08 13:00:00-04:00,5261.00,2024-04-08 15:00:00-04:00,5254.75,3,SESSION_FLATTEN,0.220,89.31,85.8,False
2024-04-10,MES,SHORT,2024-04-10 12:00:00-04:00,5197.00,2024-04-10 15:00:00-04:00,5205.75,2,SESSION_FLATTEN,-0.252,-90.46,92.6,False
2024-04-12,MES,SHORT,2024-04-12 13:00:00-04:00,5165.00,2024-04-12 15:00:00-04:00,5168.25,2,SESSION_FLATTEN,-0.086,-35.46,100.4,False
2024-04-15,MES,SHORT,2024-04-15 12:00:00-04:00,5182.50,2024-04-15 13:00:00-04:00,5122.50,1,SCALE_OUT,0.000,299.26,99.3,True
2024-04-15,MES,SHORT,2024-04-15 12:00:00-04:00,5182.50,2024-04-15 14:00:00-04:00,5108.31,2,TARGET,1.993,667.99,99.3,True
2024-04-17,MES,SHORT,2024-04-17 12:00:00-04:00,5073.00,2024-04-17 15:00:00-04:00,5061.00,2,SESSION_FLATTEN,0.290,117.04,110.4,False
2024-04-19,MES,SHORT,2024-04-19 12:00:00-04:00,5023.25,2024-04-19 15:00:00-04:00,5003.75,2,SESSION_FLATTEN,0.517,192.04,100.6,False
2024-04-22,MES,SHORT,2024-04-22 12:00:00-04:00,5025.50,2024-04-22 13:00:00-04:00,5063.42,2,STOP,-1.007,-382.13,100.4,False
2024-04-23,MES,LONG,2024-04-23 13:00:00-04:00,5104.00,2024-04-23 15:00:00-04:00,5107.75,2,SESSION_FLATTEN,0.099,34.54,100.6,False
2024-04-24,MES,SHORT,2024-04-24 12:00:00-04:00,5088.00,2024-04-24 15:00:00-04:00,5105.75,3,SESSION_FLATTEN,-0.585,-270.69,87.7,False
2024-04-26,MES,LONG,2024-04-26 12:00:00-04:00,5134.25,2024-04-26 15:00:00-04:00,5129.25,2,SESSION_FLATTEN,-0.127,-52.96,105.4,False
2024-04-30,MES,SHORT,2024-04-30 12:00:00-04:00,5110.75,2024-04-30 15:00:00-04:00,5065.25,3,SESSION_FLATTEN,1.555,678.06,83.6,False
2024-05-01,MES,SHORT,2024-05-01 13:00:00-04:00,5047.75,2024-05-01 14:00:00-04:00,5078.64,3,STOP,-1.008,-467.74,81.7,False
2024-05-06,MES,LONG,2024-05-06 13:00:00-04:00,5188.25,2024-05-06 15:00:00-04:00,5206.75,3,SESSION_FLATTEN,0.618,273.06,87.9,False
2024-05-07,MES,LONG,2024-05-07 12:00:00-04:00,5222.25,2024-05-07 15:00:00-04:00,5212.25,3,SESSION_FLATTEN,-0.355,-154.44,75.1,False
2024-05-09,MES,LONG,2024-05-09 12:00:00-04:00,5222.75,2024-05-09 15:00:00-04:00,5239.25,4,SESSION_FLATTEN,0.747,324.08,58.9,False
2024-05-15,MES,LONG,2024-05-15 12:00:00-04:00,5314.75,2024-05-15 15:00:00-04:00,5333.50,4,SESSION_FLATTEN,0.930,369.08,53.8,False
2024-05-16,MES,LONG,2024-05-16 12:00:00-04:00,5343.00,2024-05-16 14:00:00-04:00,5323.37,5,STOP,-1.013,-498.16,52.1,False
2024-05-20,MES,LONG,2024-05-20 12:00:00-04:00,5342.75,2024-05-20 14:00:00-04:00,5324.28,5,STOP,-1.014,-469.05,48.6,False
2024-05-21,MES,LONG,2024-05-21 12:00:00-04:00,5331.75,2024-05-21 15:00:00-04:00,5346.00,5,SESSION_FLATTEN,0.833,348.85,45.6,False
2024-05-22,MES,LONG,2024-05-22 12:00:00-04:00,5338.25,2024-05-22 14:00:00-04:00,5321.88,5,STOP,-1.016,-416.72,43.0,False
