day,instrument,side,entry_time,entry_price,exit_time,exit_price,qty,exit_reason,r_multiple,pnl_usd,entry_atr_ticks,scaled
2026-05-27,MES,SHORT,2026-05-27 11:20:00-04:00,7524.25,2026-05-27 11:30:00-04:00,7535.06,5,STOP,-1.024,-277.73,28.2,False
2026-05-28,MES,LONG,2026-05-28 10:10:00-04:00,7540.50,2026-05-28 10:10:00-04:00,7552.46,5,TARGET,1.469,291.59,21.7,False
2026-05-29,MES,LONG,2026-05-29 09:50:00-04:00,7607.50,2026-05-29 10:15:00-04:00,7597.62,5,STOP,-1.026,-254.27,18.3,False
2026-05-29,MES,SHORT,2026-05-29 10:45:00-04:00,7582.00,2026-05-29 10:50:00-04:00,7591.88,5,STOP,-1.026,-254.27,25.3,False
2026-06-02,MES,LONG,2026-06-02 10:35:00-04:00,7613.50,2026-06-02 10:50:00-04:00,7623.00,2,SCALE_OUT,0.000,93.52,20.6,True
2026-06-02,MES,LONG,2026-06-02 10:35:00-04:00,7613.50,2026-06-02 10:55:00-04:00,7624.82,5,TARGET,1.468,257.44,20.6,True
2026-06-03,MES,SHORT,2026-06-03 09:50:00-04:00,7578.00,2026-06-03 09:50:00-04:00,7589.62,5,STOP,-1.022,-298.02,23.2,False
2026-06-04,MES,LONG,2026-06-04 11:05:00-04:00,7573.00,2026-06-04 11:15:00-04:00,7584.25,2,SCALE_OUT,0.000,111.02,28.2,True
2026-06-04,MES,LONG,2026-06-04 11:05:00-04:00,7573.00,2026-06-04 11:45:00-04:00,7578.06,5,STOP,0.478,180.96,28.2,True
2026-06-05,MES,SHORT,2026-06-05 09:50:00-04:00,7518.25,2026-06-05 10:15:00-04:00,7531.75,5,STOP,-1.019,-344.90,35.2,False
2026-06-08,MES,SHORT,2026-06-08 10:00:00-04:00,7431.25,2026-06-08 10:35:00-04:00,7457.01,3,STOP,-1.010,-390.77,68.0,False
2026-06-08,MES,LONG,2026-06-08 11:00:00-04:00,7473.50,2026-06-08 11:30:00-04:00,7451.55,4,STOP,-1.012,-444.92,57.9,False
2026-06-09,MES,LONG,2026-06-09 09:50:00-04:00,7489.75,2026-06-09 09:55:00-04:00,7472.57,5,STOP,-1.015,-436.90,49.0,False
2026-06-09,MES,SHORT,2026-06-09 10:15:00-04:00,7436.75,2026-06-09 10:40:00-04:00,7407.07,4,TARGET,1.487,587.68,53.2,False
2026-06-10,MES,LONG,2026-06-10 09:50:00-04:00,7387.25,2026-06-10 10:55:00-04:00,7358.28,3,STOP,-1.009,-438.98,80.0,False
2026-06-10,MES,SHORT,2026-06-10 11:15:00-04:00,7327.25,2026-06-10 14:50:00-04:00,7298.25,2,SCALE_OUT,0.000,288.52,75.2,True
2026-06-10,MES,SHORT,2026-06-10 11:15:00-04:00,7327.25,2026-06-10 15:15:00-04:00,7286.62,3,TARGET,1.491,488.73,75.2,True
2026-06-11,MES,LONG,2026-06-11 09:55:00-04:00,7330.50,2026-06-11 10:10:00-04:00,7308.59,4,STOP,-1.012,-444.20,65.9,False
