day,instrument,side,entry_time,entry_price,exit_time,exit_price,qty,exit_reason,r_multiple,pnl_usd,entry_atr_ticks,scaled
2026-05-27,MES,LONG,2026-05-27 10:20:00-04:00,7546.25,2026-05-27 10:20:00-04:00,7544.75,2,STOP,-1.200,-17.96,26.5,False
2026-05-27,MES,SHORT,2026-05-27 11:20:00-04:00,7524.25,2026-05-27 11:20:00-04:00,7525.66,2,STOP,-1.215,-17.06,28.2,False
2026-05-28,MES,LONG,2026-05-28 10:05:00-04:00,7536.75,2026-05-28 10:05:00-04:00,7535.43,2,STOP,-1.233,-16.21,21.3,False
2026-05-29,MES,LONG,2026-05-29 09:50:00-04:00,7607.50,2026-05-29 09:50:00-04:00,7605.26,1,STOP,-1.126,-12.67,18.3,False
2026-05-29,MES,SHORT,2026-05-29 10:45:00-04:00,7582.00,2026-05-29 10:45:00-04:00,7584.11,1,STOP,-1.134,-12.04,25.3,False
2026-06-02,MES,LONG,2026-06-02 10:35:00-04:00,7613.50,2026-06-02 10:40:00-04:00,7611.51,1,STOP,-1.144,-11.43,20.6,False
2026-06-03,MES,SHORT,2026-06-03 09:50:00-04:00,7578.00,2026-06-03 09:50:00-04:00,7579.88,1,STOP,-1.154,-10.86,23.2,False
2026-06-04,MES,LONG,2026-06-04 11:05:00-04:00,7573.00,2026-06-04 11:05:00-04:00,7575.79,1,TARGET,1.835,12.45,28.2,False
2026-06-05,MES,SHORT,2026-06-05 09:50:00-04:00,7518.25,2026-06-05 09:50:00-04:00,7520.14,1,STOP,-1.152,-10.94,35.2,False
2026-06-08,MES,SHORT,2026-06-08 10:00:00-04:00,7431.25,2026-06-08 10:00:00-04:00,7433.03,1,STOP,-1.163,-10.39,68.0,False
2026-06-08,MES,LONG,2026-06-08 11:00:00-04:00,7473.50,2026-06-08 11:00:00-04:00,7471.82,1,STOP,-1.175,-9.87,57.9,False
2026-06-09,MES,LONG,2026-06-09 09:50:00-04:00,7489.75,2026-06-09 09:50:00-04:00,7488.17,1,STOP,-1.188,-9.38,49.0,False
2026-06-09,MES,SHORT,2026-06-09 10:15:00-04:00,7436.75,2026-06-09 10:15:00-04:00,7438.24,1,STOP,-1.202,-8.91,53.2,False
2026-06-10,MES,LONG,2026-06-10 09:50:00-04:00,7387.25,2026-06-10 09:50:00-04:00,7385.85,1,STOP,-1.218,-8.47,80.0,False
2026-06-10,MES,SHORT,2026-06-10 11:15:00-04:00,7327.25,2026-06-10 11:15:00-04:00,7325.37,1,TARGET,1.765,7.90,75.2,False
2026-06-11,MES,LONG,2026-06-11 09:55:00-04:00,7330.50,2026-06-11 09:55:00-04:00,7329.11,1,STOP,-1.219,-8.44,65.9,False
2026-06-11,MES,SHORT,2026-06-11 11:00:00-04:00,7275.25,2026-06-11 11:00:00-04:00,7276.56,1,STOP,-1.236,-8.02,69.8,False
