day,symbol,side,entry_time,entry_price,exit_time,exit_price,qty,exit_reason,r_multiple,pnl_usd,entry_atr_ticks,scaled
2024-03-19,ES=F,LONG,2024-03-19 12:00:00-04:00,5215.75,2024-03-19 16:00:00-04:00,5241.50,1,SESSION_FLATTEN,1.673,1285.25,41.1,False
2024-03-21,ES=F,LONG,2024-03-21 13:00:00-04:00,5319.25,2024-03-21 14:00:00-04:00,5307.68,1,STOP,-1.022,-580.59,30.2,False
2024-03-27,ES=F,SHORT,2024-03-27 12:00:00-04:00,5271.00,2024-03-27 12:00:00-04:00,5281.14,1,STOP,-1.025,-509.21,26.4,False
2024-03-28,ES=F,LONG,2024-03-28 12:00:00-04:00,5315.00,2024-03-28 13:00:00-04:00,5305.21,1,STOP,-1.026,-491.80,25.4,False
2024-04-01,ES=F,SHORT,2024-04-01 12:00:00-04:00,5283.50,2024-04-01 15:00:00-04:00,5295.70,1,STOP,-1.021,-612.08,31.9,False
2024-04-03,ES=F,LONG,2024-04-03 12:00:00-04:00,5273.25,2024-04-03 15:00:00-04:00,5259.66,1,STOP,-1.019,-681.77,35.6,False
2024-04-04,ES=F,LONG,2024-04-04 12:00:00-04:00,5302.50,2024-04-04 13:00:00-04:00,5290.56,1,STOP,-1.021,-599.00,31.2,False
2024-04-05,ES=F,LONG,2024-04-05 12:00:00-04:00,5262.75,2024-04-05 14:00:00-04:00,5240.64,1,STOP,-1.011,-1107.98,58.3,False
2024-04-10,ES=F,SHORT,2024-04-10 12:00:00-04:00,5197.25,2024-04-10 16:00:00-04:00,5204.00,1,SESSION_FLATTEN,-0.265,-339.75,68.1,False
2024-04-12,ES=F,SHORT,2024-04-12 13:00:00-04:00,5164.75,2024-04-12 16:00:00-04:00,5166.75,1,SESSION_FLATTEN,-0.083,-102.25,64.3,False
2024-04-15,ES=F,SHORT,2024-04-15 12:00:00-04:00,5182.25,2024-04-15 13:00:00-04:00,5139.27,1,TARGET,1.988,2146.95,57.6,False
2024-04-17,ES=F,SHORT,2024-04-17 12:00:00-04:00,5072.75,2024-04-17 14:00:00-04:00,5096.44,1,STOP,-1.011,-1186.60,62.5,False
