day,symbol,side,entry_time,entry_price,exit_time,exit_price,qty,exit_reason,r_multiple,pnl_usd,entry_atr_ticks,scaled
2026-05-26,ES=F,LONG,2026-05-26 09:50:00-04:00,7543.75,2026-05-26 09:50:00-04:00,7535.62,1,STOP,-1.032,-408.50,18.7,False
2026-05-27,ES=F,SHORT,2026-05-27 11:20:00-04:00,7524.25,2026-05-27 11:30:00-04:00,7535.22,1,STOP,-1.023,-550.72,28.6,False
2026-05-28,ES=F,LONG,2026-05-28 10:05:00-04:00,7536.50,2026-05-28 10:10:00-04:00,7550.76,1,TARGET,1.966,710.73,19.3,False
2026-05-29,ES=F,LONG,2026-05-29 09:50:00-04:00,7607.50,2026-05-29 10:15:00-04:00,7597.62,1,STOP,-1.026,-496.00,16.0,False
2026-05-29,ES=F,SHORT,2026-05-29 10:45:00-04:00,7582.00,2026-05-29 10:50:00-04:00,7591.88,1,STOP,-1.026,-496.00,24.2,False
2026-06-02,ES=F,LONG,2026-06-02 10:05:00-04:00,7605.75,2026-06-02 10:45:00-04:00,7617.93,1,TARGET,1.960,606.90,16.6,False
2026-06-03,ES=F,SHORT,2026-06-03 09:50:00-04:00,7578.00,2026-06-03 09:50:00-04:00,7589.62,1,STOP,-1.022,-583.50,20.8,False
2026-06-04,ES=F,LONG,2026-06-04 10:00:00-04:00,7559.50,2026-06-04 11:05:00-04:00,7581.55,1,TARGET,1.978,1100.16,29.7,False
2026-06-05,ES=F,SHORT,2026-06-05 09:50:00-04:00,7518.25,2026-06-05 10:15:00-04:00,7531.75,1,STOP,-1.019,-677.25,30.0,False
2026-06-08,ES=F,SHORT,2026-06-08 10:00:00-04:00,7431.00,2026-06-08 10:00:00-04:00,7446.95,1,STOP,-1.016,-799.85,41.9,False
2026-06-08,ES=F,LONG,2026-06-08 11:00:00-04:00,7473.25,2026-06-08 11:25:00-04:00,7455.33,1,STOP,-1.014,-898.31,47.1,False
2026-06-09,ES=F,LONG,2026-06-09 09:50:00-04:00,7489.75,2026-06-09 09:50:00-04:00,7479.02,1,STOP,-1.024,-538.76,27.9,False
2026-06-09,ES=F,SHORT,2026-06-09 10:15:00-04:00,7436.75,2026-06-09 10:40:00-04:00,7408.02,1,TARGET,1.983,1434.29,38.6,False
2026-06-10,ES=F,LONG,2026-06-10 09:50:00-04:00,7387.00,2026-06-10 10:50:00-04:00,7363.12,1,STOP,-1.011,-1196.00,57.2,False
2026-06-10,ES=F,SHORT,2026-06-10 11:15:00-04:00,7327.25,2026-06-10 15:50:00-04:00,7275.92,1,TARGET,1.990,2564.32,68.8,False
2026-06-11,ES=F,LONG,2026-06-11 09:55:00-04:00,7330.50,2026-06-11 10:10:00-04:00,7311.69,1,STOP,-1.013,-942.60,49.5,False
2026-06-12,ES=F,SHORT,2026-06-12 09:50:00-04:00,7372.50,2026-06-12 10:00:00-04:00,7398.12,1,STOP,-1.010,-1283.50,44.6,False
2026-06-15,ES=F,LONG,2026-06-15 09:50:00-04:00,7619.75,2026-06-15 10:05:00-04:00,7610.75,1,STOP,-1.029,-452.25,21.5,False
2026-06-16,ES=F,SHORT,2026-06-16 10:00:00-04:00,7622.50,2026-06-16 10:05:00-04:00,7630.54,1,STOP,-1.032,-404.02,20.8,False
2026-06-17,ES=F,SHORT,2026-06-17 10:00:00-04:00,7581.00,2026-06-17 10:05:00-04:00,7590.55,1,STOP,-1.027,-479.56,24.8,False
2026-06-17,ES=F,LONG,2026-06-17 10:25:00-04:00,7604.00,2026-06-17 10:30:00-04:00,7593.03,1,STOP,-1.023,-550.80,28.6,False
2026-06-18,ES=F,SHORT,2026-06-18 09:50:00-04:00,7549.00,2026-06-18 13:05:00-04:00,7571.50,1,STOP,-1.011,-1127.25,35.7,False
2026-06-22,ES=F,LONG,2026-06-22 10:05:00-04:00,7593.75,2026-06-22 10:15:00-04:00,7580.88,1,STOP,-1.020,-646.00,33.1,False
