day,instrument,side,entry_time,entry_price,exit_time,exit_price,qty,exit_reason,r_multiple,pnl_usd,entry_atr_ticks,scaled
2026-05-27,ES,LONG,2026-05-27 10:20:00-04:00,7546.00,2026-05-27 10:20:00-04:00,7535.75,1,STOP,-1.025,-517.92,26.5,False
2026-05-27,ES,SHORT,2026-05-27 11:20:00-04:00,7524.25,2026-05-27 11:30:00-04:00,7533.98,1,STOP,-1.026,-492.02,28.2,False
2026-05-28,ES,LONG,2026-05-28 10:05:00-04:00,7536.50,2026-05-28 10:10:00-04:00,7552.22,1,TARGET,1.969,780.79,21.3,False
2026-05-29,ES,LONG,2026-05-29 09:50:00-04:00,7607.50,2026-05-29 10:15:00-04:00,7597.62,1,STOP,-1.026,-499.17,18.3,False
2026-05-29,ES,SHORT,2026-05-29 10:45:00-04:00,7582.00,2026-05-29 10:50:00-04:00,7591.52,1,STOP,-1.027,-481.50,25.3,False
2026-06-02,ES,LONG,2026-06-02 10:35:00-04:00,7613.50,2026-06-02 11:05:00-04:00,7628.68,1,TARGET,1.968,753.60,20.6,False
2026-06-03,ES,SHORT,2026-06-03 09:50:00-04:00,7578.00,2026-06-03 09:50:00-04:00,7587.79,1,STOP,-1.026,-495.11,23.2,False
2026-06-04,ES,LONG,2026-06-04 11:05:00-04:00,7573.00,2026-06-04 12:05:00-04:00,7590.85,1,TARGET,1.972,886.95,28.2,False
2026-06-05,ES,SHORT,2026-06-05 09:50:00-04:00,7518.25,2026-06-05 10:15:00-04:00,7528.44,1,STOP,-1.025,-514.70,35.2,False
2026-06-08,ES,SHORT,2026-06-08 10:00:00-04:00,7431.00,2026-06-08 10:00:00-04:00,7440.67,1,STOP,-1.027,-488.97,68.0,False
2026-06-08,ES,LONG,2026-06-08 11:00:00-04:00,7473.25,2026-06-08 11:20:00-04:00,7464.07,1,STOP,-1.028,-464.52,57.9,False
2026-06-09,ES,LONG,2026-06-09 09:50:00-04:00,7489.75,2026-06-09 09:50:00-04:00,7481.03,1,STOP,-1.030,-441.29,49.0,False
2026-06-09,ES,SHORT,2026-06-09 10:15:00-04:00,7436.75,2026-06-09 10:15:00-04:00,7420.95,1,TARGET,1.969,784.69,53.2,False
2026-06-10,ES,LONG,2026-06-10 09:50:00-04:00,7387.00,2026-06-10 09:50:00-04:00,7377.94,1,STOP,-1.028,-458.46,80.0,False
2026-06-10,ES,SHORT,2026-06-10 11:15:00-04:00,7327.25,2026-06-10 11:20:00-04:00,7335.85,1,STOP,-1.030,-435.54,75.2,False
2026-06-11,ES,LONG,2026-06-11 09:55:00-04:00,7330.50,2026-06-11 09:55:00-04:00,7322.33,1,STOP,-1.032,-413.76,65.9,False
2026-06-11,ES,SHORT,2026-06-11 11:00:00-04:00,7275.25,2026-06-11 11:05:00-04:00,7283.00,1,STOP,-1.033,-393.07,69.8,False
2026-06-12,ES,LONG,2026-06-12 10:20:00-04:00,7420.25,2026-06-12 10:20:00-04:00,7412.89,1,STOP,-1.035,-373.42,67.0,False
2026-06-15,ES,LONG,2026-06-15 09:50:00-04:00,7619.75,2026-06-15 10:00:00-04:00,7612.76,1,STOP,-1.037,-354.75,72.3,False
2026-06-16,ES,SHORT,2026-06-16 10:00:00-04:00,7622.50,2026-06-16 10:00:00-04:00,7629.13,1,STOP,-1.039,-337.01,25.5,False
2026-06-17,ES,SHORT,2026-06-17 10:00:00-04:00,7581.00,2026-06-17 10:00:00-04:00,7587.29,1,STOP,-1.041,-320.16,31.1,False
2026-06-17,ES,LONG,2026-06-17 10:25:00-04:00,7604.00,2026-06-17 10:25:00-04:00,7598.03,1,STOP,-1.044,-304.15,33.0,False
2026-06-18,ES,SHORT,2026-06-18 10:00:00-04:00,7544.00,2026-06-18 10:00:00-04:00,7549.67,1,STOP,-1.046,-288.95,81.3,False
2026-06-22,ES,LONG,2026-06-22 10:05:00-04:00,7593.75,2026-06-22 10:15:00-04:00,7588.37,1,STOP,-1.049,-274.50,39.4,False
2026-06-22,ES,SHORT,2026-06-22 10:30:00-04:00,7561.00,2026-06-22 10:30:00-04:00,7551.54,1,TARGET,1.949,467.79,41.2,False
