day,symbol,side,entry_time,entry_price,exit_time,exit_price,qty,exit_reason,r_multiple,pnl_usd,entry_atr_ticks,scaled
2026-05-26,MES=F,LONG,2026-05-26 09:50:00-04:00,7543.75,2026-05-26 09:50:00-04:00,7535.50,5,STOP,-1.031,-217.50,18.6,False
2026-05-27,MES=F,SHORT,2026-05-27 11:20:00-04:00,7524.25,2026-05-27 11:30:00-04:00,7535.29,5,STOP,-1.023,-287.25,28.8,False
2026-05-28,MES=F,LONG,2026-05-28 10:05:00-04:00,7536.75,2026-05-28 10:10:00-04:00,7551.27,5,TARGET,1.966,351.72,19.7,False
2026-05-29,MES=F,LONG,2026-05-29 09:50:00-04:00,7607.50,2026-05-29 10:15:00-04:00,7597.62,5,STOP,-1.026,-258.12,16.2,False
2026-05-29,MES=F,SHORT,2026-05-29 10:45:00-04:00,7582.00,2026-05-29 10:50:00-04:00,7591.88,5,STOP,-1.026,-258.12,24.6,False
2026-06-02,MES=F,LONG,2026-06-02 10:05:00-04:00,7606.00,2026-06-02 10:30:00-04:00,7613.00,2,SCALE_OUT,0.000,65.50,17.1,True
2026-06-02,MES=F,LONG,2026-06-02 10:05:00-04:00,7606.00,2026-06-02 10:45:00-04:00,7618.59,5,TARGET,1.961,247.62,17.1,True
2026-06-03,MES=F,SHORT,2026-06-03 09:50:00-04:00,7578.00,2026-06-03 09:50:00-04:00,7589.75,5,STOP,-1.022,-305.00,21.3,False
2026-06-04,MES=F,LONG,2026-06-04 10:00:00-04:00,7559.50,2026-06-04 11:00:00-04:00,7572.25,2,SCALE_OUT,0.000,123.00,29.7,True
2026-06-04,MES=F,LONG,2026-06-04 10:00:00-04:00,7559.50,2026-06-04 11:05:00-04:00,7581.52,5,TARGET,1.978,446.59,29.7,True
2026-06-05,MES=F,SHORT,2026-06-05 09:50:00-04:00,7518.25,2026-06-05 10:15:00-04:00,7531.50,5,STOP,-1.019,-342.50,29.7,False
2026-06-08,MES=F,SHORT,2026-06-08 10:00:00-04:00,7431.25,2026-06-08 10:05:00-04:00,7447.38,5,STOP,-1.016,-414.38,42.1,False
2026-06-08,MES=F,LONG,2026-06-08 11:00:00-04:00,7473.50,2026-06-08 11:25:00-04:00,7455.56,5,STOP,-1.014,-459.69,47.2,False
2026-06-09,MES=F,LONG,2026-06-09 09:50:00-04:00,7489.75,2026-06-09 09:50:00-04:00,7479.00,5,STOP,-1.024,-280.00,27.9,False
2026-06-09,MES=F,SHORT,2026-06-09 10:15:00-04:00,7436.75,2026-06-09 10:40:00-04:00,7407.90,5,TARGET,1.983,709.94,38.8,False
2026-06-10,MES=F,LONG,2026-06-10 09:50:00-04:00,7387.25,2026-06-10 10:50:00-04:00,7363.38,4,STOP,-1.011,-486.50,56.0,False
2026-06-10,MES=F,SHORT,2026-06-10 11:15:00-04:00,7327.25,2026-06-10 13:40:00-04:00,7300.50,2,SCALE_OUT,0.000,263.00,68.5,True
2026-06-10,MES=F,SHORT,2026-06-10 11:15:00-04:00,7327.25,2026-06-10 13:45:00-04:00,7317.02,3,STOP,0.398,311.88,68.5,True
2026-06-11,MES=F,LONG,2026-06-11 09:55:00-04:00,7330.50,2026-06-11 10:10:00-04:00,7311.82,5,STOP,-1.014,-478.31,49.2,False
2026-06-11,MES=F,SHORT,2026-06-11 11:00:00-04:00,7275.25,2026-06-11 11:15:00-04:00,7299.27,4,STOP,-1.011,-489.33,63.4,False
2026-06-12,MES=F,SHORT,2026-06-12 09:50:00-04:00,7372.75,2026-06-12 10:00:00-04:00,7398.38,3,STOP,-1.010,-391.12,44.7,False
2026-06-12,MES=F,LONG,2026-06-12 10:20:00-04:00,7420.25,2026-06-12 10:45:00-04:00,7394.62,3,STOP,-1.010,-391.12,55.7,False
2026-06-15,MES=F,LONG,2026-06-15 09:50:00-04:00,7619.75,2026-06-15 10:05:00-04:00,7610.50,5,STOP,-1.028,-242.50,21.1,False
2026-06-16,MES=F,SHORT,2026-06-16 10:00:00-04:00,7622.50,2026-06-16 10:05:00-04:00,7630.49,5,STOP,-1.032,-211.12,20.7,False
2026-06-17,MES=F,SHORT,2026-06-17 10:00:00-04:00,7581.00,2026-06-17 10:05:00-04:00,7590.52,5,STOP,-1.027,-249.24,24.7,False
2026-06-17,MES=F,LONG,2026-06-17 10:25:00-04:00,7604.00,2026-06-17 10:30:00-04:00,7593.05,5,STOP,-1.023,-284.93,28.5,False
2026-06-18,MES=F,SHORT,2026-06-18 09:50:00-04:00,7549.00,2026-06-18 13:05:00-04:00,7571.62,4,STOP,-1.011,-461.50,35.5,False
2026-06-22,MES=F,LONG,2026-06-22 10:05:00-04:00,7593.50,2026-06-22 10:15:00-04:00,7580.62,5,STOP,-1.020,-333.12,33.5,False
2026-06-22,MES=F,SHORT,2026-06-22 10:25:00-04:00,7571.25,2026-06-22 10:30:00-04:00,7551.00,2,SCALE_OUT,0.000,198.00,35.5,True
2026-06-22,MES=F,SHORT,2026-06-22 10:25:00-04:00,7571.25,2026-06-22 10:40:00-04:00,7544.87,5,TARGET,1.981,586.91,35.5,True
2026-06-23,MES=F,LONG,2026-06-23 09:50:00-04:00,7458.00,2026-06-23 10:00:00-04:00,7474.25,2,SCALE_OUT,0.000,158.00,39.7,True
2026-06-23,MES=F,LONG,2026-06-23 09:50:00-04:00,7458.00,2026-06-23 10:20:00-04:00,7489.50,5,TARGET,1.984,623.75,39.7,True
2026-06-24,MES=F,SHORT,2026-06-24 09:50:00-04:00,7450.00,2026-06-24 09:50:00-04:00,7465.38,5,STOP,-1.017,-395.62,36.7,False
2026-06-24,MES=F,LONG,2026-06-24 10:00:00-04:00,7455.00,2026-06-24 10:20:00-04:00,7438.95,5,STOP,-1.016,-412.60,42.1,False
2026-06-25,MES=F,SHORT,2026-06-25 09:50:00-04:00,7424.50,2026-06-25 09:55:00-04:00,7393.25,2,SCALE_OUT,0.000,308.00,41.9,True
2026-06-25,MES=F,SHORT,2026-06-25 09:50:00-04:00,7424.50,2026-06-25 10:00:00-04:00,7408.76,3,STOP,0.580,384.44,41.9,True
2026-06-26,MES=F,LONG,2026-06-26 09:55:00-04:00,7386.25,2026-06-26 09:55:00-04:00,7403.25,2,SCALE_OUT,0.000,165.50,41.0,True
2026-06-26,MES=F,LONG,2026-06-26 09:55:00-04:00,7386.25,2026-06-26 10:05:00-04:00,7416.76,5,TARGET,1.984,616.44,41.0,True
2026-06-29,MES=F,LONG,2026-06-29 09:50:00-04:00,7479.50,2026-06-29 09:55:00-04:00,7459.62,5,STOP,-1.013,-508.12,34.3,False
2026-06-29,MES=F,SHORT,2026-06-29 10:10:00-04:00,7439.25,2026-06-29 10:10:00-04:00,7415.50,2,SCALE_OUT,0.000,233.00,43.5,True
2026-06-29,MES=F,SHORT,2026-06-29 10:10:00-04:00,7439.25,2026-06-29 10:20:00-04:00,7430.55,5,STOP,0.443,356.72,43.5,True
2026-06-30,MES=F,LONG,2026-06-30 09:55:00-04:00,7519.00,2026-06-30 10:00:00-04:00,7532.25,2,SCALE_OUT,0.000,128.00,25.7,True
2026-06-30,MES=F,LONG,2026-06-30 09:55:00-04:00,7519.00,2026-06-30 10:05:00-04:00,7523.05,5,STOP,0.420,182.02,25.7,True
2026-07-01,MES=F,LONG,2026-07-01 10:00:00-04:00,7537.25,2026-07-01 10:20:00-04:00,7551.25,2,SCALE_OUT,0.000,135.50,32.8,True
2026-07-01,MES=F,LONG,2026-07-01 10:00:00-04:00,7537.25,2026-07-01 10:45:00-04:00,7542.35,5,STOP,0.365,205.32,32.8,True
2026-07-02,MES=F,LONG,2026-07-02 09:50:00-04:00,7585.50,2026-07-02 10:25:00-04:00,7569.38,5,STOP,-1.016,-414.38,33.6,False
2026-07-02,MES=F,SHORT,2026-07-02 10:45:00-04:00,7549.25,2026-07-02 11:15:00-04:00,7527.00,2,SCALE_OUT,0.000,218.00,48.3,True
2026-07-02,MES=F,SHORT,2026-07-02 10:45:00-04:00,7549.25,2026-07-02 11:35:00-04:00,7544.82,5,STOP,0.244,277.71,48.3,True
2026-07-06,MES=F,LONG,2026-07-06 09:55:00-04:00,7567.50,2026-07-06 10:00:00-04:00,7556.75,5,STOP,-1.024,-280.00,27.0,False
2026-07-07,MES=F,SHORT,2026-07-07 09:55:00-04:00,7567.00,2026-07-07 10:10:00-04:00,7548.75,5,TARGET,1.973,445.00,24.0,False
2026-07-08,MES=F,LONG,2026-07-08 09:50:00-04:00,7511.75,2026-07-08 10:35:00-04:00,7498.96,5,STOP,-1.020,-331.10,33.5,False
2026-07-08,MES=F,SHORT,2026-07-08 10:45:00-04:00,7499.00,2026-07-08 11:20:00-04:00,7476.50,2,SCALE_OUT,0.000,220.50,41.2,True
2026-07-08,MES=F,SHORT,2026-07-08 10:45:00-04:00,7499.00,2026-07-08 11:35:00-04:00,7487.55,5,STOP,0.741,385.57,41.2,True
2026-07-09,MES=F,LONG,2026-07-09 09:50:00-04:00,7555.50,2026-07-09 10:15:00-04:00,7540.75,5,STOP,-1.017,-380.00,25.4,False
2026-07-09,MES=F,SHORT,2026-07-09 10:25:00-04:00,7543.00,2026-07-09 10:35:00-04:00,7557.75,5,STOP,-1.017,-380.00,32.6,False
2026-07-10,MES=F,LONG,2026-07-10 10:00:00-04:00,7601.75,2026-07-10 10:20:00-04:00,7593.82,5,STOP,-1.033,-209.57,20.5,False
2026-07-10,MES=F,SHORT,2026-07-10 10:35:00-04:00,7581.00,2026-07-10 10:40:00-04:00,7594.90,5,STOP,-1.018,-358.85,36.4,False
2026-07-13,MES=F,LONG,2026-07-13 10:05:00-04:00,7599.00,2026-07-13 10:15:00-04:00,7589.30,5,STOP,-1.026,-253.63,25.2,False
2026-07-13,MES=F,SHORT,2026-07-13 10:40:00-04:00,7592.75,2026-07-13 12:15:00-04:00,7579.75,2,SCALE_OUT,0.000,125.50,33.7,True
2026-07-13,MES=F,SHORT,2026-07-13 10:40:00-04:00,7592.75,2026-07-13 12:30:00-04:00,7567.71,5,TARGET,1.980,494.37,33.7,True
2026-07-14,MES=F,LONG,2026-07-14 09:50:00-04:00,7580.25,2026-07-14 10:15:00-04:00,7565.35,5,STOP,-1.017,-383.69,39.1,False
2026-07-15,MES=F,SHORT,2026-07-15 09:50:00-04:00,7605.50,2026-07-15 09:55:00-04:00,7613.98,5,STOP,-1.030,-223.17,21.9,False
2026-07-16,MES=F,SHORT,2026-07-16 09:50:00-04:00,7578.75,2026-07-16 09:50:00-04:00,7591.12,5,STOP,-1.021,-320.62,26.4,False
2026-07-16,MES=F,LONG,2026-07-16 10:10:00-04:00,7603.25,2026-07-16 12:10:00-04:00,7590.88,5,STOP,-1.021,-320.62,31.1,False
2026-07-17,MES=F,LONG,2026-07-17 09:55:00-04:00,7504.50,2026-07-17 10:00:00-04:00,7518.50,2,SCALE_OUT,0.000,135.50,33.9,True
2026-07-17,MES=F,LONG,2026-07-17 09:55:00-04:00,7504.50,2026-07-17 10:05:00-04:00,7529.70,5,TARGET,1.980,506.69,33.9,True
2026-07-20,MES=F,LONG,2026-07-20 09:50:00-04:00,7540.00,2026-07-20 09:50:00-04:00,7530.33,5,STOP,-1.027,-252.91,25.1,False
2026-07-20,MES=F,SHORT,2026-07-20 10:00:00-04:00,7520.50,2026-07-20 10:50:00-04:00,7507.25,2,SCALE_OUT,0.000,128.00,28.8,True
2026-07-20,MES=F,SHORT,2026-07-20 10:00:00-04:00,7520.50,2026-07-20 11:05:00-04:00,7515.41,5,STOP,0.471,197.63,28.8,True
2026-07-21,MES=F,SHORT,2026-07-21 09:50:00-04:00,7512.25,2026-07-21 10:15:00-04:00,7524.88,5,STOP,-1.020,-326.88,23.4,False
2026-07-21,MES=F,LONG,2026-07-21 10:30:00-04:00,7532.25,2026-07-21 12:00:00-04:00,7545.50,2,SCALE_OUT,0.000,128.00,31.1,True
2026-07-21,MES=F,LONG,2026-07-21 10:30:00-04:00,7532.25,2026-07-21 13:15:00-04:00,7546.60,5,STOP,1.160,336.50,31.1,True
2026-07-22,MES=F,LONG,2026-07-22 09:50:00-04:00,7539.75,2026-07-22 09:55:00-04:00,7549.75,2,SCALE_OUT,0.000,95.50,22.2,True
2026-07-22,MES=F,LONG,2026-07-22 09:50:00-04:00,7539.75,2026-07-22 10:10:00-04:00,7544.21,5,STOP,0.537,155.67,22.2,True
2026-07-23,MES=F,SHORT,2026-07-23 10:55:00-04:00,7441.50,2026-07-23 11:25:00-04:00,7419.25,2,SCALE_OUT,0.000,218.00,48.5,True
2026-07-23,MES=F,SHORT,2026-07-23 10:55:00-04:00,7441.50,2026-07-23 11:35:00-04:00,7433.27,4,STOP,0.394,295.82,48.5,True
2026-07-24,MES=F,LONG,2026-07-24 09:50:00-04:00,7457.00,2026-07-24 09:50:00-04:00,7447.71,5,STOP,-1.028,-243.61,24.1,False
2026-07-24,MES=F,SHORT,2026-07-24 10:00:00-04:00,7433.25,2026-07-24 10:00:00-04:00,7444.48,5,STOP,-1.023,-291.95,29.3,False
2026-07-27,MES=F,SHORT,2026-07-27 09:50:00-04:00,7496.25,2026-07-27 09:55:00-04:00,7475.00,5,TARGET,1.977,520.00,22.9,False
2026-07-28,MES=F,SHORT,2026-07-28 09:50:00-04:00,7432.75,2026-07-28 10:45:00-04:00,7447.62,5,STOP,-1.017,-383.12,33.2,False
2026-07-28,MES=F,LONG,2026-07-28 10:55:00-04:00,7452.25,2026-07-28 11:20:00-04:00,7471.00,2,SCALE_OUT,0.000,183.00,42.3,True
2026-07-28,MES=F,LONG,2026-07-28 10:55:00-04:00,7452.25,2026-07-28 12:30:00-04:00,7468.65,5,STOP,1.034,422.22,42.3,True
2026-07-29,MES=F,SHORT,2026-07-29 09:55:00-04:00,7433.75,2026-07-29 10:10:00-04:00,7409.36,5,TARGET,1.980,598.53,32.9,False
2026-07-30,MES=F,LONG,2026-07-30 09:50:00-04:00,7427.75,2026-07-30 09:55:00-04:00,7439.50,2,SCALE_OUT,0.000,113.00,31.9,True
2026-07-30,MES=F,LONG,2026-07-30 09:50:00-04:00,7427.75,2026-07-30 10:05:00-04:00,7428.85,5,STOP,0.092,122.77,31.9,True
2026-07-30,MES=F,SHORT,2026-07-30 11:20:00-04:00,7407.50,2026-07-30 11:45:00-04:00,7425.10,5,STOP,-1.014,-451.14,46.3,False
2026-07-31,MES=F,SHORT,2026-07-31 09:50:00-04:00,7474.00,2026-07-31 10:00:00-04:00,7454.75,2,SCALE_OUT,0.000,188.00,31.5,True
2026-07-31,MES=F,SHORT,2026-07-31 09:50:00-04:00,7474.00,2026-07-31 10:05:00-04:00,7439.25,5,TARGET,1.986,702.50,31.5,True
2026-08-03,MES=F,LONG,2026-08-03 09:50:00-04:00,7571.00,2026-08-03 09:55:00-04:00,7587.25,2,SCALE_OUT,0.000,158.00,26.5,True
2026-08-03,MES=F,LONG,2026-08-03 09:50:00-04:00,7571.00,2026-08-03 10:20:00-04:00,7599.00,5,TARGET,1.982,571.25,26.5,True
2026-08-04,MES=F,LONG,2026-08-04 09:50:00-04:00,7677.25,2026-08-04 09:50:00-04:00,7685.75,2,SCALE_OUT,0.000,80.50,19.5,True
2026-08-04,MES=F,LONG,2026-08-04 09:50:00-04:00,7677.25,2026-08-04 09:55:00-04:00,7679.08,5,STOP,0.209,101.13,19.5,True
